timestamp,temperature_C,cpu_percent,memory_percent,cpu_freq_MHz,cpu_voltage_V,throttled_flags_hex,num_threads,running_threads
2026-03-26T15:38:20.762773,64.45,70.7,29.1,2400.033792,0.852,0x0,24,1
2026-03-26T15:38:21.785618,64.45,69.8,29.2,2400.023808,0.852,0x0,22,3
2026-03-26T15:38:22.814174,64.45,70.2,29.1,2400.033792,0.852,0x0,22,3
2026-03-26T15:38:23.840120,65.0,70.5,29.2,2400.023808,0.852,0x0,22,3
2026-03-26T15:38:24.871849,65.0,70.2,29.1,2400.023808,0.852,0x0,24,1
2026-03-26T15:38:25.893092,65.0,77.0,28.9,2400.023808,0.852,0x0,22,3
2026-03-26T15:38:26.927966,66.1,71.1,29.0,2400.027136,0.852,0x0,22,3
2026-03-26T15:38:27.952885,64.45,69.9,28.8,2400.02048,0.852,0x0,22,2
2026-03-26T15:38:28.974476,64.45,72.0,28.9,2400.02048,0.852,0x0,22,2
2026-03-26T15:38:30.002916,65.0,70.7,28.8,2400.030464,0.852,0x0,22,1
2026-03-26T15:38:31.028788,63.35,70.1,28.9,2400.017408,0.852,0x0,24,3
2026-03-26T15:38:32.050728,65.0,69.8,29.2,2400.033792,0.852,0x0,24,2
2026-03-26T15:38:33.082087,65.0,70.1,29.3,2400.033792,0.852,0x0,24,1
2026-03-26T15:38:34.103080,66.1,71.6,29.3,2400.02048,0.852,0x0,22,2
2026-03-26T15:38:35.124570,66.1,69.9,29.1,2400.023808,0.852,0x0,24,1
2026-03-26T15:38:36.149644,65.0,76.3,29.2,2400.030464,0.852,0x0,24,2
2026-03-26T15:38:37.175374,63.9,70.2,29.4,2400.030464,0.852,0x0,22,3
2026-03-26T15:38:38.197446,65.55,69.6,29.2,2400.027136,0.852,0x0,22,1
2026-03-26T15:38:39.228049,64.45,69.8,29.3,2400.03712,0.852,0x0,22,2
2026-03-26T15:38:40.259122,64.45,69.8,29.3,2400.033792,0.852,0x0,22,1
2026-03-26T15:38:41.285636,64.45,70.9,29.2,2400.030464,0.852,0x0,22,3
2026-03-26T15:38:42.307115,65.55,69.3,29.2,2400.027136,0.852,0x0,22,4
2026-03-26T15:38:43.333561,64.45,70.9,29.0,2400.03712,0.852,0x0,22,2
2026-03-26T15:38:44.366537,63.35,72.1,29.0,2400.030464,0.852,0x0,23,4
2026-03-26T15:38:45.390658,65.0,72.2,28.9,2400.02048,0.852,0x0,22,1
2026-03-26T15:38:46.417257,63.9,79.1,29.0,2400.030464,0.852,0x0,22,3
2026-03-26T15:38:47.454640,65.55,74.5,28.8,2400.023808,0.852,0x0,22,2
2026-03-26T15:38:48.477491,64.45,71.3,29.2,2400.030464,0.852,0x0,24,3
2026-03-26T15:38:49.501553,64.45,71.4,29.3,2400.033792,0.852,0x0,22,1
2026-03-26T15:38:50.525589,64.45,72.6,29.3,2400.033792,0.852,0x0,22,1
2026-03-26T15:38:51.558119,65.55,71.4,29.3,2400.023808,0.852,0x0,22,1
2026-03-26T15:38:52.584705,64.45,73.2,29.0,2400.027136,0.852,0x0,24,2
2026-03-26T15:38:53.614993,65.55,71.6,29.0,2400.030464,0.852,0x0,22,2
2026-03-26T15:38:54.644118,63.9,70.0,29.2,2400.023808,0.852,0x0,22,2
2026-03-26T15:38:55.669951,65.0,72.5,29.0,2400.027136,0.852,0x0,22,3
2026-03-26T15:38:56.695375,64.45,72.7,28.8,2400.02048,0.852,0x0,24,1
2026-03-26T15:38:57.830119,63.9,73.1,28.9,2400.030464,0.852,0x0,22,1
2026-03-26T15:38:58.855943,65.55,78.5,29.0,2400.03712,0.852,0x0,24,3
2026-03-26T15:38:59.886121,64.45,73.7,29.2,2400.02048,0.852,0x0,24,1
2026-03-26T15:39:00.915595,64.45,71.7,29.2,2400.023808,0.852,0x0,24,
2026-03-26T15:39:01.943432,65.55,72.5,29.4,2400.02048,0.852,0x0,22,2
2026-03-26T15:39:02.964351,65.55,74.8,29.1,2400.03712,0.852,0x0,22,3
2026-03-26T15:39:03.989966,64.45,71.9,29.1,2400.033792,0.852,0x0,24,
2026-03-26T15:39:05.019065,65.0,71.1,28.9,2400.023808,0.852,0x0,24,2
2026-03-26T15:39:06.048786,63.9,72.9,29.0,2400.033792,0.852,0x0,22,3
2026-03-26T15:39:07.077163,63.9,70.3,29.0,2400.030464,0.852,0x0,22,2
2026-03-26T15:39:08.101711,65.55,79.0,28.9,2400.02048,0.852,0x0,24,
2026-03-26T15:39:09.138203,63.35,70.8,28.8,2400.023808,0.852,0x0,24,2
2026-03-26T15:39:10.158740,64.45,72.4,29.0,2400.027136,0.852,0x0,22,1
2026-03-26T15:39:11.188373,65.0,72.0,28.9,2400.03712,0.852,0x0,22,3
2026-03-26T15:39:12.214360,65.0,73.8,29.0,2400.030464,0.852,0x0,23,
2026-03-26T15:39:13.246091,63.9,71.9,29.0,2400.03712,0.852,0x0,22,3
2026-03-26T15:39:14.273286,65.0,72.0,29.1,2400.02048,0.852,0x0,24,5
2026-03-26T15:39:15.308373,65.0,71.0,29.1,2400.02048,0.852,0x0,22,1
2026-03-26T15:39:16.330932,64.45,77.8,28.8,2400.033792,0.852,0x0,22,1
2026-03-26T15:39:17.356333,64.45,80.2,28.8,2400.033792,0.852,0x0,22,4
2026-03-26T15:39:18.380406,65.55,70.5,28.8,2400.030464,0.852,0x0,22,1
2026-03-26T15:39:19.408841,65.0,70.7,28.9,2400.023808,0.852,0x0,24,2
2026-03-26T15:39:20.438106,63.9,72.7,28.8,2400.027136,0.852,0x0,24,1
2026-03-26T15:39:21.460667,65.55,71.0,29.1,2400.03712,0.852,0x0,22,4
2026-03-26T15:39:22.497106,65.0,71.7,29.2,2400.023808,0.852,0x0,22,1
2026-03-26T15:39:23.522462,65.0,69.1,28.8,2400.030464,0.852,0x0,22,2
2026-03-26T15:39:24.548707,64.45,72.6,28.8,2400.02048,0.852,0x0,25,1
2026-03-26T15:39:25.572510,65.55,73.5,28.8,2400.02048,0.852,0x0,24,3
2026-03-26T15:39:26.597205,65.0,72.2,28.9,2400.030464,0.852,0x0,22,3
2026-03-26T15:39:27.623979,66.1,78.0,28.8,2400.023808,0.852,0x0,24,
2026-03-26T15:39:28.667922,63.9,72.4,28.5,2400.027136,0.852,0x0,22,2
2026-03-26T15:39:29.691485,65.55,72.4,28.7,2400.02048,0.852,0x0,22,2
2026-03-26T15:39:30.720217,65.55,72.7,28.8,2400.027136,0.852,0x0,22,2
2026-03-26T15:39:31.746187,63.9,78.0,28.3,2400.023808,0.852,0x0,24,2
2026-03-26T15:39:32.776949,64.45,72.8,28.3,2400.023808,0.852,0x0,22,2
2026-03-26T15:39:33.809282,64.45,70.3,28.4,2400.023808,0.852,0x0,22,2
2026-03-26T15:39:34.836226,63.9,72.2,28.4,2400.033792,0.852,0x0,22,3
2026-03-26T15:39:35.861683,65.0,71.6,28.3,2400.03712,0.852,0x0,22,1
2026-03-26T15:39:36.888256,64.45,71.8,28.4,2400.027136,0.852,0x0,22,3
2026-03-26T15:39:37.918139,64.45,72.5,28.4,2400.033792,0.852,0x0,24,1
2026-03-26T15:39:38.941234,63.9,80.6,28.3,2400.030464,0.852,0x0,24,1
2026-03-26T15:39:39.963069,64.45,70.1,28.1,2400.02048,0.852,0x0,22,2
2026-03-26T15:39:40.991771,63.9,71.9,28.3,2400.033792,0.852,0x0,24,5
2026-03-26T15:39:42.017430,64.45,71.9,28.5,2400.030464,0.852,0x0,24,2
