frame,fps
1175,32.17
1176,36.20
1177,37.21
1178,30.44
1179,35.08
1180,36.12
1181,36.77
1182,31.74
1183,34.12
1184,37.02
1185,35.12
1186,31.18
1187,34.95
1188,36.87
1189,33.00
1190,33.99
1191,33.03
1192,38.33
1193,34.40
1194,30.88
1195,35.46
1196,37.57
1197,34.69
1198,31.45
1199,34.76
1200,36.26
1201,34.23
1202,32.02
1203,36.76
1204,35.19
1205,34.46
1206,31.65
1207,37.66
1208,34.83
1209,33.81
1210,32.12
1211,37.42
1212,34.91
1213,33.31
1214,31.05
1215,37.17
1216,36.49
1217,32.28
1218,31.12
1219,37.87
1220,37.04
1221,32.86
1222,34.56
1223,35.35
1224,34.40
1225,33.01
1226,30.61
1227,42.06
1228,34.39
1229,32.74
1230,31.35
1231,38.69
1232,33.06
1233,34.25
1234,36.13
1235,36.31
1236,33.06
1237,27.05
1238,35.99
1239,36.92
1240,34.87
1241,31.29
1242,42.48
1243,30.45
1244,25.38
1245,36.97
1246,50.55
1247,43.04
1248,32.61
1249,31.23
1250,35.23
1251,37.39
1252,31.42
1253,31.70
1254,37.14
1255,33.48
1256,38.45
1257,32.99
1258,36.51
1259,36.51
1260,32.40
1261,31.18
1262,37.61
1263,36.68
1264,31.87
1265,34.06
1266,36.64
1267,35.63
1268,32.51
1269,32.56
1270,36.86
1271,32.54
1272,32.55
1273,34.76
1274,37.02
1275,36.92
1276,31.12
1277,34.89
1278,36.84
1279,35.57
1280,30.38
1281,36.62
1282,36.72
1283,34.51
1284,29.82
1285,38.73
1286,36.57
1287,34.04
1288,31.92
1289,36.79
1290,34.49
1291,32.99
1292,31.19
1293,37.69
1294,37.25
1295,33.77
1296,31.03
1297,37.89
1298,35.28
1299,32.50
1300,31.49
1301,37.94
1302,36.65
1303,31.93
1304,32.93
1305,38.63
1306,34.66
1307,32.08
1308,30.94
1309,39.93
1310,35.89
1311,32.80
1312,32.20
1313,38.21
1314,33.43
1315,31.58
1316,31.89
1317,44.47
1318,32.59
1319,34.05
1320,33.08
1321,38.45
1322,34.19
1323,31.65
1324,32.39
1325,41.08
1326,32.77
1327,32.40
1328,33.73
1329,39.48
1330,32.10
1331,32.99
