timestamp,temperature_C,cpu_percent,memory_percent,npu_utilization_percent
2026-02-03T13:28:45.108938,55.65,35.2,28.2,25.5
2026-02-03T13:28:47.316241,55.65,41.5,28.1,25.6
2026-02-03T13:28:49.519725,55.65,33.8,28.1,25.3
2026-02-03T13:28:51.722264,58.4,44.1,28.2,25.5
2026-02-03T13:28:53.925953,56.2,32.1,28.1,25.3
2026-02-03T13:28:56.130856,56.2,35.9,28.2,25.2
2026-02-03T13:28:58.332702,56.2,44.4,28.2,25.2
2026-02-03T13:29:00.536632,56.2,32.8,28.2,25.5
2026-02-03T13:29:02.743641,56.2,41.9,28.1,25.7
2026-02-03T13:29:04.945998,56.2,32.5,28.1,25.8
2026-02-03T13:29:07.149915,56.75,37.3,28.2,25.3
2026-02-03T13:29:09.352342,57.3,38.1,28.1,25.6
2026-02-03T13:29:11.556971,56.2,33.4,28.2,25.3
2026-02-03T13:29:13.762660,58.4,41.4,28.1,25.6
2026-02-03T13:29:15.966039,56.75,32.9,28.1,26.0
2026-02-03T13:29:18.170003,56.75,38.0,28.2,25.4
2026-02-03T13:29:20.384126,56.75,41.6,28.1,26.2
2026-02-03T13:29:22.587156,57.3,36.6,28.2,26.1
2026-02-03T13:29:24.791379,56.75,43.2,28.1,26.0
2026-02-03T13:29:26.993816,56.75,33.3,28.1,25.4
2026-02-03T13:29:29.196346,57.3,37.6,28.2,25.7
2026-02-03T13:29:31.399865,57.3,36.7,28.1,26.0
2026-02-03T13:29:33.603457,56.75,35.1,28.1,25.8
2026-02-03T13:29:35.807814,58.4,42.3,28.1,26.2
2026-02-03T13:29:38.012691,56.75,36.5,28.1,25.5
2026-02-03T13:29:40.217743,58.4,40.3,28.2,25.5
2026-02-03T13:29:42.420279,58.4,39.6,28.1,25.7
2026-02-03T13:29:44.624467,57.3,35.9,28.1,26.1
2026-02-03T13:29:46.833474,57.3,46.3,28.2,26.5
2026-02-03T13:29:49.038551,57.85,32.5,28.1,25.4
2026-02-03T13:29:51.241396,57.3,42.2,28.2,25.9
2026-02-03T13:29:53.444178,57.85,32.8,28.2,26.0
2026-02-03T13:29:55.649819,58.4,34.9,28.2,26.0
