timestamp,temperature_C,cpu_percent,memory_percent,npu_utilization_percent
2026-02-03T16:17:28.355979,56.75,42.4,14.3,37.3
2026-02-03T16:17:30.558526,57.3,55.7,14.3,37.3
2026-02-03T16:17:32.762758,57.85,59.6,14.4,37.5
2026-02-03T16:17:34.969689,57.85,61.0,14.3,38.0
2026-02-03T16:17:37.173832,58.95,61.7,14.4,37.6
2026-02-03T16:17:39.393284,59.5,58.5,14.3,37.5
2026-02-03T16:17:41.597098,57.85,62.8,14.3,37.5
2026-02-03T16:17:43.803738,57.85,52.5,14.4,37.7
2026-02-03T16:17:46.008315,58.4,61.0,14.3,38.7
2026-02-03T16:17:48.210664,58.95,47.7,14.3,37.3
2026-02-03T16:17:50.413634,58.95,50.9,14.3,37.5
2026-02-03T16:17:52.619418,57.3,43.5,14.3,37.8
2026-02-03T16:17:54.830001,56.75,45.1,14.3,40.0
2026-02-03T16:17:57.034883,57.85,42.1,14.3,38.3
2026-02-03T16:17:59.239651,57.3,50.6,14.3,37.2
2026-02-03T16:18:01.443934,58.4,42.7,14.3,37.9
2026-02-03T16:18:03.646827,58.95,45.3,14.3,38.6
2026-02-03T16:18:05.852029,56.75,44.1,14.3,38.1
2026-02-03T16:18:08.054730,58.4,51.3,14.4,38.8
2026-02-03T16:18:10.258172,58.95,43.7,14.4,37.7
2026-02-03T16:18:12.471412,58.4,54.7,14.4,38.3
2026-02-03T16:18:14.676330,57.3,51.9,14.3,38.3
2026-02-03T16:18:16.882430,57.85,42.3,14.3,38.3
2026-02-03T16:18:19.086604,58.4,48.3,14.3,37.6
2026-02-03T16:18:21.291631,57.3,43.5,14.4,38.1
2026-02-03T16:18:23.501535,57.3,43.6,14.4,38.4
2026-02-03T16:18:25.715444,57.3,46.9,14.3,38.3
2026-02-03T16:18:27.918480,58.4,57.4,14.4,37.5
2026-02-03T16:18:30.122756,58.95,56.4,14.4,38.9
2026-02-03T16:18:32.325979,58.95,59.8,14.3,38.9
2026-02-03T16:18:34.528849,56.2,51.2,14.3,38.3
2026-02-03T16:18:36.732399,56.2,52.8,14.3,36.8
2026-02-03T16:18:38.936646,58.95,42.8,14.3,38.0
2026-02-03T16:18:41.148705,57.85,51.3,14.3,37.7
2026-02-03T16:18:43.354862,58.95,49.9,14.3,37.2
2026-02-03T16:18:45.558815,58.95,50.6,14.3,38.1
2026-02-03T16:18:47.767634,57.85,46.6,14.3,37.9
2026-02-03T16:18:49.971497,58.4,53.5,14.3,37.9
2026-02-03T16:18:52.177242,58.4,53.6,14.4,37.6
2026-02-03T16:18:54.382009,56.75,53.3,14.3,37.5
2026-02-03T16:18:56.587552,56.75,45.8,14.4,38.0
2026-02-03T16:18:58.792087,57.3,38.6,14.4,37.9
2026-02-03T16:19:00.996920,57.3,36.6,14.4,38.2
2026-02-03T16:19:03.201284,57.85,47.6,14.4,37.8
2026-02-03T16:19:05.405033,57.85,44.7,14.4,37.8
2026-02-03T16:19:07.617893,58.4,42.8,14.4,38.4
2026-02-03T16:19:09.820179,57.85,45.7,14.4,38.2
2026-02-03T16:19:12.032016,57.3,42.8,14.4,37.7
2026-02-03T16:19:14.234739,56.75,46.1,14.4,37.9
2026-02-03T16:19:16.439182,57.3,56.8,14.4,38.4
2026-02-03T16:19:18.641306,57.85,50.8,14.4,38.7
2026-02-03T16:19:20.848752,58.4,55.7,14.4,38.3
2026-02-03T16:19:23.052295,58.4,64.2,14.4,38.2
2026-02-03T16:19:25.258024,58.95,55.8,14.4,38.0
2026-02-03T16:19:27.461554,58.95,54.3,14.4,38.5
2026-02-03T16:19:29.668569,57.3,40.1,14.4,38.2
2026-02-03T16:19:31.872973,58.4,51.5,14.4,37.9
2026-02-03T16:19:34.075309,58.95,45.2,14.4,38.2
2026-02-03T16:19:36.281174,57.85,48.6,14.4,37.7
2026-02-03T16:19:38.485270,57.3,48.0,14.5,37.3
2026-02-03T16:19:40.702764,57.85,46.4,14.5,37.7
2026-02-03T16:19:42.910862,58.95,53.0,14.5,38.4
2026-02-03T16:19:45.116074,58.4,53.2,14.4,38.1
2026-02-03T16:19:47.320366,58.4,55.6,14.4,38.7
2026-02-03T16:19:49.533559,58.4,58.5,14.4,37.7
2026-02-03T16:19:51.737837,59.5,60.0,14.4,37.9
2026-02-03T16:19:53.940272,58.4,50.9,14.4,38.3
2026-02-03T16:19:56.144660,57.85,50.2,14.4,38.5
2026-02-03T16:19:58.351263,58.4,42.9,14.5,38.4
2026-02-03T16:20:00.554437,57.85,53.6,14.5,38.2
2026-02-03T16:20:02.761121,58.4,47.9,14.5,37.5
2026-02-03T16:20:04.973144,57.85,47.4,14.5,38.3
2026-02-03T16:20:07.178047,57.85,47.8,14.5,37.3
2026-02-03T16:20:09.383986,58.4,40.3,14.5,38.4
2026-02-03T16:20:11.587839,56.2,45.0,14.5,38.1
2026-02-03T16:20:13.791652,57.85,47.4,14.5,37.9
2026-02-03T16:20:15.995949,57.3,46.0,14.4,37.5
2026-02-03T16:20:18.200627,58.4,53.3,14.4,37.1
2026-02-03T16:20:20.405152,57.85,60.9,14.4,38.6
2026-02-03T16:20:22.610763,57.85,57.1,14.4,37.8
2026-02-03T16:20:24.815379,58.95,47.4,14.4,38.3
2026-02-03T16:20:27.020123,57.3,41.0,14.5,38.2
2026-02-03T16:20:29.222592,57.85,54.2,14.4,37.3
2026-02-03T16:20:31.431149,57.3,50.5,14.4,38.6
2026-02-03T16:20:33.635267,59.5,60.5,14.4,38.7
2026-02-03T16:20:35.840140,60.05,55.2,14.5,38.3
2026-02-03T16:20:38.048801,59.5,64.1,14.4,38.3
2026-02-03T16:20:40.254899,59.5,55.0,14.5,38.0
2026-02-03T16:20:42.461017,56.2,46.4,14.4,38.3
2026-02-03T16:20:44.664387,56.75,38.9,14.5,38.4
2026-02-03T16:20:46.868136,58.95,51.1,14.4,38.1
2026-02-03T16:20:49.072474,57.3,49.4,14.5,37.8
2026-02-03T16:20:51.276913,57.85,62.1,14.5,37.9
2026-02-03T16:20:53.483160,58.4,54.9,14.5,38.2
2026-02-03T16:20:55.685383,58.4,61.5,14.5,38.3
2026-02-03T16:20:57.891644,59.5,58.4,14.5,37.5
2026-02-03T16:21:00.100926,57.85,42.0,14.5,37.3
2026-02-03T16:21:02.305490,57.85,47.6,14.5,37.3
2026-02-03T16:21:04.509883,56.75,41.5,14.5,38.0
2026-02-03T16:21:06.715811,58.95,47.1,14.5,37.7
2026-02-03T16:21:08.918689,57.85,43.1,14.5,37.2
2026-02-03T16:21:11.121459,57.85,45.9,14.5,37.8
2026-02-03T16:21:13.328833,56.75,44.1,14.5,37.4
2026-02-03T16:21:15.534929,57.85,45.8,14.5,37.5
2026-02-03T16:21:17.738531,57.3,43.8,14.5,38.0
2026-02-03T16:21:19.943919,57.85,50.7,14.5,38.2
2026-02-03T16:21:22.146746,56.75,41.4,14.5,37.4
2026-02-03T16:21:24.350641,58.4,47.0,14.5,37.4
2026-02-03T16:21:26.553222,58.95,47.3,14.5,37.5
2026-02-03T16:21:28.756371,58.95,62.3,14.5,37.7
2026-02-03T16:21:30.960153,58.4,55.7,14.5,37.1
2026-02-03T16:21:33.163856,56.75,52.1,14.5,38.8
2026-02-03T16:21:35.367226,59.5,49.8,14.5,37.2
2026-02-03T16:21:37.570369,57.85,47.1,14.5,37.3
2026-02-03T16:21:39.774145,58.95,48.4,14.5,37.8
2026-02-03T16:21:41.978521,56.75,45.1,14.5,37.4
2026-02-03T16:21:44.182454,56.75,51.3,14.5,37.5
2026-02-03T16:21:46.387708,58.95,41.6,14.5,37.4
2026-02-03T16:21:48.593156,57.85,47.0,14.5,38.4
2026-02-03T16:21:50.797682,57.85,43.8,14.5,37.6
2026-02-03T16:21:53.000814,58.4,54.6,14.5,37.2
2026-02-03T16:21:55.202926,58.95,48.8,14.5,38.0
2026-02-03T16:21:57.407903,57.3,56.1,14.5,38.3
2026-02-03T16:21:59.615126,57.3,50.2,14.5,37.2
2026-02-03T16:22:01.818385,57.85,59.7,14.5,37.5
2026-02-03T16:22:04.029062,58.95,56.5,14.5,37.3
2026-02-03T16:22:06.241189,56.2,48.1,14.5,37.7
2026-02-03T16:22:08.448394,58.4,47.0,14.5,37.5
2026-02-03T16:22:10.655279,58.95,47.7,14.5,37.4
2026-02-03T16:22:12.859725,58.4,56.2,14.5,37.0
2026-02-03T16:22:15.063389,57.85,46.5,14.5,37.3
2026-02-03T16:22:17.266975,58.95,51.7,14.5,37.7
2026-02-03T16:22:19.476179,56.75,52.0,14.5,37.8
2026-02-03T16:22:21.683350,57.85,48.7,14.5,37.4
2026-02-03T16:22:23.885872,57.85,46.2,14.5,37.8
2026-02-03T16:22:26.095096,57.3,47.9,14.5,37.3
2026-02-03T16:22:28.297836,57.3,43.1,14.5,37.2
2026-02-03T16:22:30.500558,57.3,50.9,14.5,37.7
2026-02-03T16:22:32.706254,58.95,51.7,14.5,37.2
2026-02-03T16:22:34.912783,58.4,55.8,14.5,37.7
2026-02-03T16:22:37.116893,57.85,56.5,14.5,37.9
2026-02-03T16:22:39.322019,56.75,62.6,14.5,38.2
2026-02-03T16:22:41.529670,57.85,59.0,14.5,37.3
2026-02-03T16:22:43.734555,58.4,65.4,14.7,37.4
2026-02-03T16:22:45.943314,57.85,49.1,14.7,37.3
2026-02-03T16:22:48.147658,58.95,54.7,14.6,38.0
2026-02-03T16:22:50.351189,58.95,50.3,14.5,37.8
2026-02-03T16:22:52.553241,57.3,43.0,14.5,37.5
2026-02-03T16:22:54.761168,57.3,45.3,14.5,37.6
2026-02-03T16:22:56.963311,57.3,42.1,14.5,37.4
2026-02-03T16:22:59.167833,57.3,51.7,14.5,38.3
